ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M001,0,-,2,0,0,0,5,caught,2,c Wasim Akram b Waqar Younis,v Pakistan,Gujranwala,18 Dec 1989,ODI # 593
M002,0,2,2,0,0,0,5,caught,2,c & b S A Thomson,v New Zealand,Dunedin,1 Mar 1990,ODI # 612
M003,36,51,39,5,0,92.3,6,caught,1,c †I D S Smith b S A Thomson,v New Zealand,Wellington,6 Mar 1990,ODI # 616
M004,10,-,12,0,0,83.33,5,run out,1,run out,v Sri Lanka,Sharjah,25 Apr 1990,ODI # 623
M005,20,-,25,1,0,80,7,caught,2,c Saeed Anwar b Imran Khan,v Pakistan,Sharjah,27 Apr 1990,ODI # 625
M006,19,38,35,1,1,54.28,4,bowled,2,b D E Malcolm,v England,Leeds,18 Jul 1990,ODI # 634
M007,31,31,26,3,0,119.23,6,bowled,2,b A R C Fraser,v England,Nottingham,20 Jul 1990,ODI # 635
M008,36,-,22,3,2,163.63,5,bowled,1,b R J Ratnayake,v Sri Lanka,Nagpur,1 Dec 1990,ODI # 644
M009,53,-,41,7,1,129.26,5,bowled,2,b G F Labrooy,v Sri Lanka,Pune,5 Dec 1990,ODI # 646
M010,30,-,29,1,2,103.44,5,caught,1,c & b S D Anurasiri,v Sri Lanka,Margao,8 Dec 1990,ODI # 648
M011,DNB,-,-,-,-,-,-,-,2,did not bat,v Bangladesh,Chandigarh,25 Dec 1990,ODI # 657
M012,4,-,11,0,0,36.36,5,lbw,2,lbw b A Ranatunga,v Sri Lanka,Cuttack,28 Dec 1990,ODI # 658
M013,53,-,70,2,0,75.71,4,lbw,2,lbw b R J Ratnayake,v Sri Lanka,Kolkata,4 Jan 1991,ODI # 661
M014,52*,-,40,5,0,130,5,not out,1,not out,v Pakistan,Sharjah,18 Oct 1991,ODI # 680
M015,22,-,27,3,0,81.48,5,run out,1,run out,v West Indies,Sharjah,19 Oct 1991,ODI # 681
M016,11*,-,27,1,0,40.74,5,not out,2,not out,v West Indies,Sharjah,22 Oct 1991,ODI # 683
M017,49,-,38,3,2,128.94,5,caught,2,c sub b Saleem Malik,v Pakistan,Sharjah,23 Oct 1991,ODI # 684
M018,0,-,1,0,0,0,5,lbw,2,lbw b Aaqib Javed,v Pakistan,Sharjah,25 Oct 1991,ODI # 685
M019,62,-,73,8,1,84.93,4,caught,2,c R P Snell b A A Donald,v South Africa,Kolkata,10 Nov 1991,ODI # 686
M020,4,-,8,0,0,50,4,caught,1,c †D J Richardson b C R Matthews,v South Africa,Gwalior,12 Nov 1991,ODI # 687
M021,1,-,3,0,0,33.33,4,caught,1,c S J Cook b A A Donald,v South Africa,New Delhi,14 Nov 1991,ODI # 688
M022,1,14,9,0,0,11.11,4,caught,1,c R B Richardson b A C Cummins,v West Indies,Perth,6 Dec 1991,ODI # 692
M023,36,79,65,3,0,55.38,4,caught,1,c P L Taylor b T M Moody,v Australia,Perth,8 Dec 1991,ODI # 693
M024,57,111,107,3,0,53.27,4,caught,1,c S R Waugh b P L Taylor,v Australia,Hobart,10 Dec 1991,ODI # 694
M025,48,62,57,2,0,84.21,4,caught,1,c & b K L T Arthurton,v West Indies,Adelaide,14 Dec 1991,ODI # 696
M026,21,38,35,3,0,60,4,caught,1,c D M Jones b S R Waugh,v Australia,Adelaide,15 Dec 1991,ODI # 697
M027,77,157,127,5,0,60.62,4,caught,1,c sub b A C Cummins,v West Indies,Brisbane,11 Jan 1992,ODI # 702
M028,31,64,44,1,0,70.45,5,run out,1,run out,v Australia,Sydney,14 Jan 1992,ODI # 705
M029,57*,118,88,2,0,64.77,4,not out,2,not out,v West Indies,Melbourne,16 Jan 1992,ODI # 707
M030,4,12,10,0,0,40,4,caught,2,c M R Whitney b T M Moody,v Australia,Melbourne,18 Jan 1992,ODI # 709
M031,69,116,100,3,0,69,4,caught,2,c M R Whitney b S R Waugh,v Australia,Sydney,20 Jan 1992,ODI # 711
M032,35,51,44,5,0,79.54,4,caught,2,c †A J Stewart b I T Botham,v England,Perth,22 Feb 1992,ODI # 715
M033,DNB,-,-,-,-,-,-,-,1,did not bat,v Sri Lanka,Mackay,28 Feb 1992,ODI # 722
M034,11,19,19,1,0,57.89,4,caught,2,c S R Waugh b T M Moody,v Australia,Brisbane,1 Mar 1992,ODI # 725
M035,54*,91,62,3,0,87.09,5,not out,1,not out,v Pakistan,Sydney,4 Mar 1992,ODI # 729
M036,81,88,77,8,1,105.19,4,caught,1,c A D R Campbell b M G Burmester,v Zimbabwe,Hamilton,7 Mar 1992,ODI # 732
M037,4,11,11,0,0,36.36,4,caught,1,c †D Williams b C E L Ambrose,v West Indies,Wellington,10 Mar 1992,ODI # 737
M038,84,122,107,6,0,78.5,4,caught,1,c †I D S Smith b C Z Harris,v New Zealand,Dunedin,12 Mar 1992,ODI # 740
M039,14,14,14,1,0,100,4,caught,1,c K C Wessels b A P Kuiper,v South Africa,Adelaide,15 Mar 1992,ODI # 745
M040,39,92,56,7,0,69.64,4,caught,1,c D H Brain b G J Crocker,v Zimbabwe,Harare,25 Oct 1992,ODI # 764
M041,15,-,27,1,0,55.55,4,bowled,1,b B M McMillan,v South Africa,Cape Town,7 Dec 1992,ODI # 770
M042,10,-,36,0,0,27.77,4,caught,1,c †D J Richardson b D J Callaghan,v South Africa,Port Elizabeth,9 Dec 1992,ODI # 772
M043,22,-,24,2,0,91.66,5,caught,2,c †D J Richardson b C R Matthews,v South Africa,Centurion,11 Dec 1992,ODI # 774
M044,21,-,44,1,0,47.72,5,caught,1,c B M McMillan b A A Donald,v South Africa,Johannesburg,13 Dec 1992,ODI # 779
M045,32,-,52,1,0,61.53,5,bowled,1,b P S De Villiers,v South Africa,Bloemfontein,15 Dec 1992,ODI # 781
M046,23,-,39,0,0,58.97,5,caught,2,c W J Cronje b M W Pringle,v South Africa,Durban,17 Dec 1992,ODI # 783
M047,21,-,38,3,0,55.26,3,caught,2,c †D J Richardson b C R Matthews,v South Africa,East London,19 Dec 1992,ODI # 784
M048,82*,116,81,6,1,101.23,5,not out,1,not out,v England,Jaipur,18 Jan 1993,ODI # 794
M049,1,9,5,0,0,20,5,lbw,2,lbw b P A J De Freitas,v England,Chandigarh,21 Jan 1993,ODI # 795
M050,3,7,6,0,0,50,4,caught,2,c G A Hick b C C Lewis,v England,Bengaluru,26 Feb 1993,ODI # 809
M051,24,42,32,1,0,75,4,bowled,1,b P W Jarvis,v England,Jamshedpur,1 Mar 1993,ODI # 811
M052,5,7,6,1,0,83.33,5,bowled,2,b P W Jarvis,v England,Gwalior,4 Mar 1993,ODI # 813
M053,34,42,30,2,1,113.33,5,caught,2,c sub b C C Lewis,v England,Gwalior,5 Mar 1993,ODI # 814
M054,3,16,9,0,0,33.33,5,caught,1,c & b G W Flower,v Zimbabwe,Faridabad,19 Mar 1993,ODI # 817
M055,8*,8,6,0,0,133.33,5,not out,2,not out,v Zimbabwe,Guwahati,22 Mar 1993,ODI # 820
M056,DNB,-,-,-,-,-,-,-,2,did not bat,v Zimbabwe,Pune,25 Mar 1993,ODI # 823
M057,21,-,39,1,0,53.84,5,caught,1,c A P Gurusinha b S T Jayasuriya,v Sri Lanka,Colombo (RPS),25 Jul 1993,ODI # 833
M058,15,-,30,0,0,50,5,run out,2,run out,v Sri Lanka,Colombo (RPS),12 Aug 1993,ODI # 834
M059,25,-,39,1,0,64.1,5,caught,1,c M Muralitharan b S T Jayasuriya,v Sri Lanka,Moratuwa,14 Aug 1993,ODI # 835
M060,26*,-,30,4,0,86.66,5,not out,2,not out,v Sri Lanka,Kanpur,7 Nov 1993,ODI # 846
M061,2,-,8,0,0,25,5,lbw,2,lbw b C A Walsh,v West Indies,Ahmedabad,16 Nov 1993,ODI # 851
M062,24,22,16,1,1,150,6,caught,1,c & b H H Streak,v Zimbabwe,Indore,18 Nov 1993,ODI # 852
M063,3,-,25,0,0,12,4,caught,1,c †D J Richardson b W J Cronje,v South Africa,Mohali,22 Nov 1993,ODI # 855
M064,15,-,31,3,0,48.38,5,caught,1,c †D J Richardson b R P Snell,v South Africa,Kolkata,24 Nov 1993,ODI # 856
M065,28*,-,43,2,0,65.11,5,not out,1,not out,v West Indies,Kolkata,27 Nov 1993,ODI # 858
M066,1,10,5,0,0,20,5,caught,1,c A Ranatunga b R S Kalpage,v Sri Lanka,Rajkot,15 Feb 1994,ODI # 879
M067,11*,25,18,0,0,61.11,5,not out,2,not out,v Sri Lanka,Hyderabad (Deccan),18 Feb 1994,ODI # 881
M068,52,83,63,3,0,82.53,5,run out,1,run out,v Sri Lanka,Jalandhar,20 Feb 1994,ODI # 883
M069,15,22,19,1,0,78.94,5,caught,2,c K R Rutherford b D J Nash,v New Zealand,Napier,25 Mar 1994,ODI # 896
M070,82,69,49,15,2,167.34,2,caught,2,c & b M N Hart,v New Zealand,Auckland,27 Mar 1994,ODI # 897
M071,63,91,75,9,0,84,2,lbw,1,lbw b G R Larsen,v New Zealand,Wellington,30 Mar 1994,ODI # 898
M072,40,34,26,8,0,153.84,2,bowled,1,b G R Larsen,v New Zealand,Christchurch,2 Apr 1994,ODI # 899
M073,63,125,77,7,1,81.81,2,caught,1,c †Imtiaz Abbasi b Sultan Zarawani,v U.A.E.,Sharjah,13 Apr 1994,ODI # 904
M074,73,96,64,10,3,114.06,2,caught,1,c Basit Ali b Akram Raza,v Pakistan,Sharjah,15 Apr 1994,ODI # 906
M075,6,12,7,1,0,85.71,2,caught,2,c M A Taylor b G D McGrath,v Australia,Sharjah,19 Apr 1994,ODI # 910
M076,24,59,26,4,0,92.3,2,caught,2,c Aamir Sohail b Ata-Ur-Rehman,v Pakistan,Sharjah,22 Apr 1994,ODI # 912
M077,11*,-,16,2,0,68.75,2,not out,1,not out,v Sri Lanka,Colombo (RPS),4 Sep 1994,ODI # 921
M078,6,13,5,0,0,120,2,caught,1,c H D P K Dharmasena b G P Wickramasinghe,v Sri Lanka,Colombo (RPS),5 Sep 1994,ODI # 922
M079,110,186,130,8,2,84.61,2,bowled,1,b C J McDermott,v Australia,Colombo (RPS),9 Sep 1994,ODI # 924
M080,0,6,2,0,0,0,2,caught,2,c P A de Silva b W P U J C Vaas,v Sri Lanka,Colombo (SSC),17 Sep 1994,ODI # 927
M081,0,3,4,0,0,0,2,caught,2,c B C Lara b C A Walsh,v West Indies,Faridabad,17 Oct 1994,ODI # 931
M082,0,7,4,0,0,0,2,caught,2,c C L Hooper b C E Cuffy,v West Indies,Mumbai,20 Oct 1994,ODI # 933
M083,8,28,24,0,0,33.33,3,caught,2,c C L Hooper b A C Cummins,v West Indies,Chennai,23 Oct 1994,ODI # 936
M084,115,184,136,9,3,84.55,2,run out,2,run out,v New Zealand,Vadodara,28 Oct 1994,ODI # 939
M085,34,53,47,7,0,72.34,2,bowled,2,b A C Cummins,v West Indies,Kanpur,30 Oct 1994,ODI # 941
M086,62,80,54,13,0,114.81,2,bowled,1,b M N Hart,v New Zealand,Delhi,3 Nov 1994,ODI # 944
M087,66,101,68,8,0,97.05,2,caught,1,c S C Williams b C E Cuffy,v West Indies,Kolkata,5 Nov 1994,ODI # 947
M088,54,130,64,5,0,84.37,2,caught,1,c A C Cummins b C L Hooper,v West Indies,Visakhapatnam,7 Nov 1994,ODI # 949
M089,88,147,112,10,0,78.57,2,bowled,2,b P V Simmons,v West Indies,Cuttack,9 Nov 1994,ODI # 950
M090,105,180,134,10,0,78.35,2,caught,1,c †J C Adams b B S Browne,v West Indies,Jaipur,11 Nov 1994,ODI # 951
M091,13,30,15,3,0,86.66,2,caught,1,c S A Thomson b D K Morrison,v New Zealand,Napier,16 Feb 1995,ODI # 976
M092,37,75,51,3,1,72.54,2,caught,2,c P L Symcox b W J Cronje,v South Africa,Hamilton,18 Feb 1995,ODI # 977
M093,47,65,40,7,0,117.5,2,caught,2,c M A Taylor b J Angel,v Australia,Dunedin,22 Feb 1995,ODI # 979
M094,48,37,30,9,1,160,2,bowled,2,b Mohammad Rafique,v Bangladesh,Sharjah,5 Apr 1995,ODI # 993
M095,4,13,9,1,0,44.44,2,caught,2,c †Moin Khan b Aaqib Javed,v Pakistan,Sharjah,7 Apr 1995,ODI # 995
M096,112*,137,107,15,1,104.67,2,not out,2,not out,v Sri Lanka,Sharjah,9 Apr 1995,ODI # 997
M097,41,51,41,5,0,100,2,caught,2,c S T Jayasuriya b C P H Ramanayake,v Sri Lanka,Sharjah,14 Apr 1995,ODI # 999
M098,30,30,20,5,0,150,2,caught,1,c M J Greatbatch b D K Morrison,v New Zealand,Jamshedpur,15 Nov 1995,ODI # 1015
M099,39,79,51,4,0,76.47,2,caught,2,c †L K Germon b S A Thomson,v New Zealand,Amritsar,18 Nov 1995,ODI # 1016
M100,7,27,11,1,0,63.63,2,caught,2,c G R Larsen b D K Morrison,v New Zealand,Pune,24 Nov 1995,ODI # 1017
M101,65,96,59,9,1,110.16,2,run out,2,run out,v New Zealand,Nagpur,26 Nov 1995,ODI # 1018
M102,1,14,4,0,0,25,2,bowled,2,b D K Morrison,v New Zealand,Mumbai (BS),29 Nov 1995,ODI # 1019
M103,127*,175,138,15,1,92.02,2,not out,2,not out,v Kenya,Cuttack,18 Feb 1996,ODI # 1052
M104,70,137,91,8,0,76.92,2,run out,2,run out,v West Indies,Gwalior,21 Feb 1996,ODI # 1056
M105,90,124,84,14,1,107.14,2,stumped,2,st I A Healy b M E Waugh,v Australia,Mumbai,27 Feb 1996,ODI # 1065
M106,137,198,137,8,5,100,2,run out,1,run out,v Sri Lanka,Delhi,2 Mar 1996,ODI # 1070
M107,3,10,12,0,0,25,1,bowled,1,b H H Streak,v Zimbabwe,Kanpur,6 Mar 1996,ODI # 1075
M108,31,103,59,3,0,52.54,2,bowled,1,b Ata-Ur-Rehman,v Pakistan,Bengaluru,9 Mar 1996,ODI # 1078
M109,65,96,88,9,0,73.86,1,stumped,2,st R S Kaluwitharana b S T Jayasuriya,v Sri Lanka,Kolkata,13 Mar 1996,ODI # 1081
M110,28,-,31,3,1,90.32,1,caught,1,c S T Jayasuriya b G P Wickramasinghe,v Sri Lanka,Singapore,3 Apr 1996,ODI # 1089
M111,100,-,111,9,1,90.09,2,stumped,1,st Rashid Latif b Saqlain Mushtaq,v Pakistan,Singapore,5 Apr 1996,ODI # 1091
M112,1,-,5,0,0,20,2,caught,2,c Saeed Anwar b Aaqib Javed,v Pakistan,Sharjah,12 Apr 1996,ODI # 1094
M113,2,23,15,0,0,13.33,2,caught,2,c G Kirsten b P S De Villiers,v South Africa,Sharjah,14 Apr 1996,ODI # 1097
M114,118,-,140,8,2,84.28,2,caught,1,c Aamir Sohail b Waqar Younis,v Pakistan,Sharjah,15 Apr 1996,ODI # 1098
M115,17,32,26,2,0,65.38,2,caught,1,c G Kirsten b P S De Villiers,v South Africa,Sharjah,17 Apr 1996,ODI # 1100
M116,57,104,71,6,0,80.28,2,run out,2,run out,v South Africa,Sharjah,19 Apr 1996,ODI # 1101
M117,30,30,19,5,1,157.89,2,lbw,2,lbw b P J Martin,v England,The Oval,23 May 1996,ODI # 1102
M118,6,26,19,0,0,31.57,2,run out,1,run out,v England,Leeds,25 May 1996,ODI # 1103
M119,1,18,11,0,0,9.09,2,caught,1,c G A Hick b D G Cork,v England,Manchester,26 May 1996,ODI # 1104
M120,110,-,138,5,1,79.71,2,run out,1,run out,v Sri Lanka,Colombo (RPS),28 Aug 1996,ODI # 1106
M121,40,60,46,8,0,86.95,2,caught,2,c B C Strang b H H Streak,v Zimbabwe,Colombo (SSC),1 Sep 1996,ODI # 1110
M122,7,24,11,1,0,63.63,2,caught,1,c S R Waugh b G D McGrath,v Australia,Colombo (SSC),6 Sep 1996,ODI # 1113
M123,89*,-,89,9,3,100,2,not out,2,not out,v Pakistan,Toronto,16 Sep 1996,ODI # 1115
M124,20,-,23,3,0,86.95,2,caught,1,c Wasim Akram b Azhar Mahmood,v Pakistan,Toronto,17 Sep 1996,ODI # 1116
M125,2,-,13,0,0,15.38,2,caught,1,c Aamir Sohail b Wasim Akram,v Pakistan,Toronto,18 Sep 1996,ODI # 1117
M126,3,-,9,0,0,33.33,2,caught,2,c Saleem Malik b Wasim Akram,v Pakistan,Toronto,21 Sep 1996,ODI # 1118
M127,23,-,44,0,1,52.27,2,run out,2,run out,v Pakistan,Toronto,23 Sep 1996,ODI # 1119
M128,11,20,8,2,0,137.5,2,caught,2,c D J Cullinan b P S De Villiers,v South Africa,Hyderabad (Deccan),17 Oct 1996,ODI # 1127
M129,88,189,111,9,0,79.27,2,lbw,2,lbw b S R Waugh,v Australia,Bengaluru,21 Oct 1996,ODI # 1129
M130,64,133,93,3,0,68.81,2,caught,2,c G Kirsten b B M McMillan,v South Africa,Jaipur,23 Oct 1996,ODI # 1130
M131,28,55,38,5,0,73.68,1,lbw,1,lbw b A A Donald,v South Africa,Rajkot,29 Oct 1996,ODI # 1132
M132,62,-,60,8,0,103.33,1,caught,1,c S G Law b M E Waugh,v Australia,Mohali,3 Nov 1996,ODI # 1137
M133,67,128,88,6,0,76.13,2,caught,1,c W J Cronje b N Boje,v South Africa,Mumbai,6 Nov 1996,ODI # 1138
M134,114,157,126,14,0,90.47,1,stumped,1,st G Kirsten b N Boje,v South Africa,Mumbai,14 Dec 1996,ODI # 1151
M135,0,12,4,0,0,0,2,bowled,2,b S M Pollock,v South Africa,Bloemfontein,23 Jan 1997,ODI # 1167
M136,6,8,8,1,0,75,1,caught,2,c A D R Campbell b E A Brandes,v Zimbabwe,Paarl,27 Jan 1997,ODI # 1169
M137,1,14,14,0,0,7.14,4,bowled,1,b A A Donald,v South Africa,Port Elizabeth,2 Feb 1997,ODI # 1172
M138,14,34,24,2,0,58.33,3,caught,1,c D J Cullinan b L Klusener,v South Africa,East London,4 Feb 1997,ODI # 1173
M139,41,81,56,1,1,73.21,4,caught,1,c A C Waller b A D R Campbell,v Zimbabwe,Centurion,7 Feb 1997,ODI # 1174
M140,104,121,97,8,1,107.21,2,caught,2,c A D R Campbell b C N Evans,v Zimbabwe,Benoni,9 Feb 1997,ODI # 1175
M141,32,55,27,6,0,118.51,2,caught,1,c J N Rhodes b L Klusener,v South Africa,Durban,12 Feb 1997,ODI # 1176
M142,45,48,33,7,1,136.36,2,caught,2,c R E Bryson b W J Cronje,v South Africa,Durban,13 Feb 1997,ODI # 1177
M143,13,18,15,0,1,86.66,2,caught,1,c G W Flower b E A Brandes,v Zimbabwe,Bulawayo,15 Feb 1997,ODI # 1178
M144,44,57,43,10,0,102.32,1,caught,1,c †C O Browne b C E L Ambrose,v West Indies,Port of Spain,26 Apr 1997,ODI # 1200
M145,65*,111,70,7,0,92.85,1,not out,2,not out,v West Indies,Port of Spain,27 Apr 1997,ODI # 1201
M146,9,22,15,1,0,60,1,bowled,2,b C A Walsh,v West Indies,Kingstown,30 Apr 1997,ODI # 1202
M147,1,17,11,0,0,9.09,1,caught,1,c B C Lara b C A Walsh,v West Indies,Bridgetown,3 May 1997,ODI # 1203
M148,117,188,137,13,2,85.4,2,bowled,2,b N J Astle,v New Zealand,Bengaluru,14 May 1997,ODI # 1206
M149,2,19,4,0,0,50,2,caught,1,c H D P K Dharmasena b K S C de Silva,v Sri Lanka,Mumbai,17 May 1997,ODI # 1207
M150,4,10,7,1,0,57.14,1,caught,2,c Inzamam-ul-Haq b Aaqib Javed,v Pakistan,Chennai,21 May 1997,ODI # 1209
M151,21,49,28,3,0,75,1,bowled,1,b W P U J C Vaas,v Sri Lanka,Colombo (RPS),18 Jul 1997,ODI # 1218
M152,TDNB,-,-,-,-,-,-,-,-,did not bat,v Pakistan,Colombo (SSC),20 Jul 1997,ODI # 1219
M153,28,36,21,5,0,133.33,2,bowled,2,b Enamul Haque,v Bangladesh,Colombo (SSC),24 Jul 1997,ODI # 1221
M154,53,109,67,2,0,79.1,4,caught,1,c R S Kalpage b M Muralitharan,v Sri Lanka,Colombo (RPS),26 Jul 1997,ODI # 1222
M155,27,55,28,3,0,96.42,1,caught,2,c M Muralitharan b W P U J C Vaas,v Sri Lanka,Colombo (RPS),17 Aug 1997,ODI # 1223
M156,6,4,6,1,0,100,1,lbw,1,lbw b W P U J C Vaas,v Sri Lanka,Colombo (RPS),20 Aug 1997,ODI # 1224
M157,27,47,31,4,0,87.09,2,caught,1,c A Ranatunga b D K Liyanage,v Sri Lanka,Colombo (SSC),23 Aug 1997,ODI # 1225
M158,39,41,32,3,2,121.87,1,caught,2,c †S K L de Silva b K S C de Silva,v Sri Lanka,Colombo (SSC),24 Aug 1997,ODI # 1226
M159,17,82,54,2,0,31.48,1,caught,1,c Mohammad Akram b Azhar Mahmood,v Pakistan,Toronto,13 Sep 1997,ODI # 1227
M160,25*,66,45,3,0,55.55,4,not out,2,not out,v Pakistan,Toronto,14 Sep 1997,ODI # 1228
M161,TDNB,-,-,-,-,-,-,-,-,did not bat,v Pakistan,Toronto,17 Sep 1997,ODI # 1229
M162,0,26,10,0,0,0,4,caught,1,c †Moin Khan b Mohammad Akram,v Pakistan,Toronto,18 Sep 1997,ODI # 1230
M163,6,10,7,1,0,85.71,1,caught,2,c †Moin Khan b Shahid Nazir,v Pakistan,Toronto,20 Sep 1997,ODI # 1231
M164,51,106,64,4,1,79.68,1,lbw,1,lbw b Azhar Mahmood,v Pakistan,Toronto,21 Sep 1997,ODI # 1232
M165,2,17,11,0,0,18.18,1,bowled,1,b Waqar Younis,v Pakistan,Hyderabad (Sind),28 Sep 1997,ODI # 1233
M166,21,24,18,2,1,116.66,1,caught,2,c †Moin Khan b Azhar Mahmood,v Pakistan,Karachi,30 Sep 1997,ODI # 1234
M167,7,19,11,1,0,63.63,1,caught,1,c Inzamam-ul-Haq b Aaqib Javed,v Pakistan,Lahore,2 Oct 1997,ODI # 1236
M168,91,146,87,4,2,104.59,4,stumped,2,st A J Stewart b M V Fleming,v England,Sharjah,11 Dec 1997,ODI # 1259
M169,3,4,4,0,0,75,5,caught,1,c Inzamam-ul-Haq b Manzoor Akhtar,v Pakistan,Sharjah,14 Dec 1997,ODI # 1262
M170,1,3,2,0,0,50,4,run out,2,run out,v West Indies,Sharjah,16 Dec 1997,ODI # 1264
M171,82*,110,86,6,0,95.34,4,not out,2,not out,v Sri Lanka,Guwahati,22 Dec 1997,ODI # 1267
M172,TDNB,-,-,-,-,-,-,-,-,did not bat,v Sri Lanka,Indore,25 Dec 1997,ODI # 1268
M173,6,23,13,0,0,46.15,3,caught,1,c K S C de Silva b M Muralitharan,v Sri Lanka,Margao,28 Dec 1997,ODI # 1269
M174,54,104,76,4,0,71.05,4,caught,2,c & b Mohammad Rafique,v Bangladesh,Dhaka,10 Jan 1998,ODI # 1271
M175,67,-,44,11,0,152.27,2,stumped,1,st Rashid Latif b Saqlain Mushtaq,v Pakistan,Dhaka,11 Jan 1998,ODI # 1273
M176,95,104,78,6,5,121.79,2,bowled,2,b Shahid Afridi,v Pakistan,Dhaka,14 Jan 1998,ODI # 1276
M177,1,14,6,0,0,16.66,2,bowled,1,b Azhar Mahmood,v Pakistan,Dhaka,16 Jan 1998,ODI # 1277
M178,41,-,26,7,1,157.69,2,caught,2,c Azhar Mahmood b Shahid Afridi,v Pakistan,Dhaka,18 Jan 1998,ODI # 1279
M179,8,21,11,1,0,72.72,2,caught,1,c R T Ponting b M S Kasprowicz,v Australia,Kochi,1 Apr 1998,ODI # 1300
M180,5,44,17,0,0,29.41,2,run out,1,run out,v Zimbabwe,Vadodara,5 Apr 1998,ODI # 1305
M181,100,132,89,5,7,112.35,2,caught,2,c sub b S K Warne,v Australia,Kanpur,7 Apr 1998,ODI # 1308
M182,1,18,2,0,0,50,2,caught,1,c †A Flower b M Mbangwa,v Zimbabwe,Cuttack,9 Apr 1998,ODI # 1311
M183,15,45,24,2,0,62.5,2,caught,1,c †A C Gilchrist b D W Fleming,v Australia,Delhi,14 Apr 1998,ODI # 1316
M184,40,62,41,5,1,97.56,1,caught,1,c S B Doull b C Z Harris,v New Zealand,Sharjah,17 Apr 1998,ODI # 1319
M185,80,136,72,9,0,111.11,2,caught,2,c †A C Gilchrist b D W Fleming,v Australia,Sharjah,19 Apr 1998,ODI # 1322
