ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M269,70*,129,70,13,0,100,2,not out,2,not out,v Zimbabwe,Harare,24 Jun 2001,ODI # 1729
M270,9,42,27,0,0,33.33,2,caught,2,c G W Flower b B C Strang,v Zimbabwe,Bulawayo,27 Jun 2001,ODI # 1730
M271,81*,191,110,8,0,73.63,2,not out,2,not out,v West Indies,Bulawayo,30 Jun 2001,ODI # 1731
M272,122*,210,131,12,1,93.12,2,not out,2,not out,v West Indies,Harare,4 Jul 2001,ODI # 1733
M273,0,10,4,0,0,0,2,caught,2,c D Ganga b C D Collymore,v West Indies,Harare,7 Jul 2001,ODI # 1734
M274,101,209,129,9,0,78.29,2,caught,1,c H H Gibbs b J H Kallis,v South Africa,Johannesburg,5 Oct 2001,ODI # 1752
M275,38,82,57,5,0,66.66,2,caught,1,c A Nel b M Ntini,v South Africa,Centurion,10 Oct 2001,ODI # 1757
M276,DNB,-,-,-,-,-,-,-,2,did not bat,v Kenya,Bloemfontein,12 Oct 2001,ODI # 1758
M277,3,24,20,0,0,15,2,bowled,2,b J O Angara,v Kenya,Port Elizabeth,17 Oct 2001,ODI # 1761
M278,37,68,35,5,0,105.71,2,bowled,2,b J H Kallis,v South Africa,East London,19 Oct 2001,ODI # 1762
M279,146,186,132,17,0,110.6,2,caught,1,c M O Odumbe b T M Odoyo,v Kenya,Paarl,24 Oct 2001,ODI # 1764
M280,17,49,42,3,0,40.47,2,bowled,1,b M Hayward,v South Africa,Durban,26 Oct 2001,ODI # 1766
M281,36,71,43,6,0,83.72,2,bowled,1,b A Flintoff,v England,Kolkata,19 Jan 2002,ODI # 1788
M282,45,101,60,6,0,75,2,run out,2,run out,v England,Cuttack,22 Jan 2002,ODI # 1792
M283,68,110,79,10,0,86.07,1,lbw,2,lbw b J N Snape,v England,Chennai,25 Jan 2002,ODI # 1795
M284,87*,120,67,13,1,129.85,1,not out,2,not out,v England,Kanpur,28 Jan 2002,ODI # 1798
M285,18,20,16,3,0,112.5,2,caught,2,c †J S Foster b A R Caddick,v England,Delhi,31 Jan 2002,ODI # 1800
M286,12,22,18,1,1,66.66,2,caught,2,c †J S Foster b D Gough,v England,Mumbai,3 Feb 2002,ODI # 1803
M287,34*,64,45,2,0,75.55,4,not out,2,not out,v West Indies,Bridgetown,29 May 2002,ODI # 1836
M288,65,110,70,3,1,92.85,4,bowled,1,b M V Dillon,v West Indies,Port of Spain,2 Jun 2002,ODI # 1838
M289,1,12,9,0,0,11.11,4,lbw,2,lbw b R C Irani,v England,Lord's,29 Jun 2002,ODI # 1848
M290,49,123,70,3,1,70,4,caught,2,c †R S Kaluwitharana b D N T Zoysa,v Sri Lanka,The Oval,30 Jun 2002,ODI # 1849
M291,105*,167,108,8,1,97.22,4,not out,1,not out,v England,Chester-le-Street,4 Jul 2002,ODI # 1851
M292,19,35,25,3,0,76,4,caught,2,c M S Atapattu b C R D Fernando,v Sri Lanka,Birmingham,6 Jul 2002,ODI # 1852
M293,36,60,29,5,0,124.13,4,caught,2,c †A J Stewart b M J Hoggard,v England,The Oval,9 Jul 2002,ODI # 1854
M294,113,141,102,12,1,110.78,4,caught,1,c U D U Chandana b W P U J C Vaas,v Sri Lanka,Bristol,11 Jul 2002,ODI # 1855
M295,14,31,19,1,0,73.68,4,bowled,2,b A F Giles,v England,Lord's,13 Jul 2002,ODI # 1856
M296,7,39,16,0,0,43.75,4,caught,1,c A D R Campbell b D T Hondo,v Zimbabwe,Colombo (RPS),14 Sep 2002,ODI # 1876
M297,9*,34,20,0,0,45,4,not out,2,not out,v England,Colombo (RPS),22 Sep 2002,ODI # 1884
M298,16,39,29,1,0,55.17,4,run out,1,run out,v South Africa,Colombo (RPS),25 Sep 2002,ODI # 1886
M299,DNB,-,-,-,-,-,-,-,2,did not bat,v Sri Lanka,Colombo (RPS),29 Sep 2002,ODI # 1888
M300,7*,33,22,1,0,31.81,3,not out,2,not out,v Sri Lanka,Colombo (RPS),30 Sep 2002,ODI # 1889
M301,0,9,10,0,0,0,4,lbw,2,lbw b S E Bond,v New Zealand,Wellington,8 Jan 2003,ODI # 1930
M302,1,21,13,0,0,7.69,4,caught,2,c †B B McCullum b D R Tuffey,v New Zealand,Auckland,11 Jan 2003,ODI # 1933
M303,1,7,6,0,0,16.66,3,caught,1,c S P Fleming b D R Tuffey,v New Zealand,Hamilton,14 Jan 2003,ODI # 1935
M304,52,91,72,7,0,72.22,2,caught,1,c †J Smits b T B M de Leede,v Netherlands,Paarl,12 Feb 2003,ODI # 1948
M305,36,127,59,3,0,61.01,2,lbw,1,lbw b J N Gillespie,v Australia,Centurion,15 Feb 2003,ODI # 1951
M306,81,122,91,10,0,89.01,2,bowled,1,b G W Flower,v Zimbabwe,Harare,19 Feb 2003,ODI # 1957
M307,152,193,151,18,0,100.66,2,bowled,1,b R J van Vuuren,v Namibia,Pietermaritzburg,23 Feb 2003,ODI # 1964
M308,50,78,52,8,1,96.15,2,caught,1,c P D Collingwood b A Flintoff,v England,Durban,26 Feb 2003,ODI # 1969
M309,98,145,75,12,1,130.66,1,caught,2,c Younis Khan b Shoaib Akhtar,v Pakistan,Centurion,1 Mar 2003,ODI # 1975
M310,5,21,12,1,0,41.66,2,caught,2,c A O Suji b M A Suji,v Kenya,Cape Town,7 Mar 2003,ODI # 1983
M311,97,160,120,7,1,80.83,1,caught,1,c †K C Sangakkara b P A de Silva,v Sri Lanka,Johannesburg,10 Mar 2003,ODI # 1985
M312,15,25,16,3,0,93.75,2,caught,2,c J D P Oram b D R Tuffey,v New Zealand,Centurion,14 Mar 2003,ODI # 1988
M313,83,166,101,5,1,82.17,2,caught,1,c D O Obuya b S O Tikolo,v Kenya,Durban,20 Mar 2003,ODI # 1992
M314,4,2,5,1,0,80,1,caught,2,c & b G D McGrath,v Australia,Johannesburg,23 Mar 2003,ODI # 1993
M315,48*,119,66,5,0,72.72,2,not out,1,not out,v New Zealand,Chennai,23 Oct 2003,ODI # 2051
M316,100,158,119,9,1,84.03,2,caught,1,c †A C Gilchrist b N W Bracken,v Australia,Gwalior,26 Oct 2003,ODI # 2052
M317,68,113,76,10,0,89.47,2,bowled,2,b M J Clarke,v Australia,Mumbai,1 Nov 2003,ODI # 2054
M318,14,29,14,3,0,100,2,lbw,1,lbw b K D Mills,v New Zealand,Cuttack,6 Nov 2003,ODI # 2056
M319,89,133,91,12,1,97.8,2,bowled,2,b I J Harvey,v Australia,Bengaluru,12 Nov 2003,ODI # 2061
M320,102,124,91,12,1,112.08,2,caught,1,c J D P Oram b C Z Harris,v New Zealand,Hyderabad (Deccan),15 Nov 2003,ODI # 2062
M321,45,104,66,5,0,68.18,1,bowled,2,b A J Bichel,v Australia,Kolkata,18 Nov 2003,ODI # 2064
M322,63,117,69,8,1,91.3,2,caught,2,c R T Ponting b A Symonds,v Australia,Melbourne,9 Jan 2004,ODI # 2077
M323,44,107,59,6,0,74.57,2,bowled,2,b S M Ervine,v Zimbabwe,Hobart,14 Jan 2004,ODI # 2080
M324,86,129,95,8,0,90.52,2,caught,1,c & b A Symonds,v Australia,Brisbane,18 Jan 2004,ODI # 2084
M325,5,17,6,1,0,83.33,2,caught,1,c M L Hayden b B Lee,v Australia,Perth,1 Feb 2004,ODI # 2093
M326,3,16,8,0,0,37.5,2,caught,2,c †T Taibu b H H Streak,v Zimbabwe,Perth,3 Feb 2004,ODI # 2095
M327,8,28,22,1,0,36.36,2,bowled,1,b B Lee,v Australia,Melbourne,6 Feb 2004,ODI # 2097
M328,27,38,40,4,0,67.5,2,caught,2,c B Lee b J N Gillespie,v Australia,Sydney,8 Feb 2004,ODI # 2098
M329,28,49,35,4,1,80,2,caught,1,c Naved-ul-Hasan b Shoaib Akhtar,v Pakistan,Karachi,13 Mar 2004,ODI # 2112
M330,141,173,135,17,1,104.44,2,caught,2,c Abdul Razzaq b Shoaib Malik,v Pakistan,Rawalpindi,16 Mar 2004,ODI # 2114
M331,0,7,5,0,0,0,2,caught,1,c †Moin Khan b Shabbir Ahmed,v Pakistan,Peshawar,19 Mar 2004,ODI # 2115
M332,7,22,13,1,0,53.84,2,caught,2,c †Moin Khan b Shoaib Akhtar,v Pakistan,Lahore,21 Mar 2004,ODI # 2116
M333,37,60,48,7,0,77.08,2,caught,1,c †Moin Khan b Mohammad Sami,v Pakistan,Lahore,24 Mar 2004,ODI # 2117
M334,18,39,25,2,0,72,2,caught,1,c Fahad Usman b Asim Saeed,v U.A.E.,Dambulla,16 Jul 2004,ODI # 2144
M335,11,17,13,2,0,84.61,1,caught,2,c W S Jayantha b D N T Zoysa,v Sri Lanka,Dambulla,18 Jul 2004,ODI # 2148
M336,82*,157,126,10,1,65.07,2,not out,2,not out,v Bangladesh,Colombo (SSC),21 Jul 2004,ODI # 2149
M337,78,192,103,6,0,75.72,2,caught,2,c Imran Nazir b Shoaib Malik,v Pakistan,Colombo (RPS),25 Jul 2004,ODI # 2152
M338,18,30,21,3,0,85.71,1,lbw,1,lbw b D N T Zoysa,v Sri Lanka,Colombo (RPS),27 Jul 2004,ODI # 2153
M339,74,170,100,7,1,74,2,bowled,2,b T M Dilshan,v Sri Lanka,Colombo (RPS),1 Aug 2004,ODI # 2155
M340,16,30,17,2,0,94.11,2,run out,1,run out,v Pakistan,Kolkata,13 Nov 2004,ODI # 2192
M341,19,46,32,3,0,59.37,2,caught,1,c †Khaled Mashud b Nazmul Hossain,v Bangladesh,Chittagong,23 Dec 2004,ODI # 2199
M342,47,60,42,9,0,111.9,2,caught,1,c †Khaled Mashud b Khaled Mahmud,v Bangladesh,Dhaka,27 Dec 2004,ODI # 2202
M343,4,8,4,1,0,100,2,caught,1,c Mohammad Yousuf b Naved-ul-Hasan,v Pakistan,Kochi,2 Apr 2005,ODI # 2235
M344,2,17,8,0,0,25,2,run out,1,run out,v Pakistan,Visakhapatnam,5 Apr 2005,ODI # 2236
M345,6,15,11,1,0,54.54,2,caught,2,c Younis Khan b Mohammad Sami,v Pakistan,Jamshedpur,9 Apr 2005,ODI # 2237
M346,123,192,130,12,2,94.61,2,bowled,1,b Shoaib Malik,v Pakistan,Ahmedabad,12 Apr 2005,ODI # 2238
M347,1,13,10,0,0,10,2,caught,1,c †Kamran Akmal b Naved-ul-Hasan,v Pakistan,Kanpur,15 Apr 2005,ODI # 2239
M348,9,38,15,0,0,60,2,bowled,2,b Iftikhar Anjum,v Pakistan,Delhi,17 Apr 2005,ODI # 2240
